Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,2543.5,2539.3,2024-01-05 10:12:00 AM,2024-01-05 10:17:00 AM,GL_B,Stop loss,-$222.00,-$222.00,$12.00,$0.00,$0.00,$0.00,$0.00,$210.00,$70.00,$292.00,6,
2,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,2531.0,2533.0,2024-02-01 11:12:00 AM,2024-02-01 11:17:00 AM,GL_B,TP1,$17.60,-$204.40,$2.40,$0.00,$0.00,$0.00,$0.00,$15.00,$78.00,$60.40,6,
3,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,2531.0,2537.3,2024-02-01 11:12:00 AM,2024-02-01 11:46:00 AM,GL_B,TP2,$60.60,-$143.80,$2.40,$0.00,$0.00,$0.00,$0.00,$15.00,$78.00,$17.40,35,
4,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,2531.0,2538.3,2024-02-01 11:12:00 AM,2024-02-01 11:47:00 AM,GL_B,TP3,$70.60,-$73.20,$2.40,$0.00,$0.00,$0.00,$0.00,$15.00,$78.00,$7.40,36,
5,MGC 12-26,Backtest,GoldTrendScalperV40,Long,2,2531.0,2535.5,2024-02-01 11:12:00 AM,2024-02-01 11:53:00 AM,GL_B,Stop loss,$85.20,$12.00,$4.80,$0.00,$0.00,$0.00,$0.00,$30.00,$156.00,$70.80,42,
6,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,2476.9,2474.5,2024-02-16 10:38:00 AM,2024-02-16 10:56:00 AM,GL_B,Stop loss,-$132.00,-$120.00,$12.00,$0.00,$0.00,$0.00,$0.00,$120.00,$85.00,$217.00,19,
7,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,2526.0,2528.4,2024-03-01 10:26:00 AM,2024-03-01 10:36:00 AM,GL_B,TP1,$21.60,-$98.40,$2.40,$0.00,$0.00,$0.00,$0.00,$1.00,$112.00,$90.40,11,
8,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,2526.0,2531.4,2024-03-01 10:26:00 AM,2024-03-01 10:48:00 AM,GL_B,TP2,$51.60,-$46.80,$2.40,$0.00,$0.00,$0.00,$0.00,$1.00,$112.00,$60.40,23,
9,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,2526.0,2533.3,2024-03-01 10:26:00 AM,2024-03-01 10:52:00 AM,GL_B,TP3,$70.60,$23.80,$2.40,$0.00,$0.00,$0.00,$0.00,$1.00,$112.00,$41.40,27,
10,MGC 12-26,Backtest,GoldTrendScalperV40,Long,2,2526.0,2537.1,2024-03-01 10:26:00 AM,2024-03-01 11:09:00 AM,GL_B,FullTake,$217.20,$241.00,$4.80,$0.00,$0.00,$0.00,$0.00,$2.00,$224.00,$6.80,44,
